Reference,sold,좋아요,URL,Online since,Categories,Category,Sub-category,Designer,Condition,Material,Colour,Location,사이즈,크기,Style,Details_explanation,정상가,할인가
21220048,재고있음,2,http://dk.vestiairecollective.com/women-shoes/sandals/valentino-garavani/black-leather-rockstud-valentino-garavani-sandals-21220048.shtml,2022-03-03,Women,Sandals,Shoes,Valentino Garavani,Very good condition,Leather,Black,"France, from the seller MytheresaXVestiaireCollective",38 EU,,,"Rockstud flat sandals. Black leather. Cage effect on the top, with golden studs. Adjustable ankle strap. Square ends. Leather insole. Made in Italy. Size: 38. Note: Signs of wear on the outer soles, Slight scratch at the right end. Packaging: dust bag.",£179.53,£179.53
21219904,재고있음,0,http://dk.vestiairecollective.com/women-shoes/sandals/valentino-garavani/multicolour-patent-leather-rockstud-valentino-garavani-sandals-21219904.shtml,2022-03-03,Women,Sandals,Shoes,Valentino Garavani,Good condition,Patent leather,Multicolour,"France, from the seller MytheresaXVestiaireCollective",38.5 EU,,,"Rockstud sandals. Pink/black, leather/patent leather. Cage effect on the top, with golden studs. Adjustable ankle strap. Pointed ends. Leather insole. Made in Italy. Size: 38.5. 10cm heel. Note: Wear marks on the outer soles, slight marks on the leather at the top of the heels, snag on the right heel. No packaging.",£242.36,£242.36
21219808,재고있음,0,http://dk.vestiairecollective.com/women-bags/handbags/chloe/camel-leather-chloe-handbag-21219808.shtml,2022-03-03,Women,Shoulder bags,Bags,Chloé,Very good condition,Leather,Camel,"France, from the seller MytheresaXVestiaireCollective",,"Width 15.4 in, Height 12.6 in",,"Camel leather handbag. Gold metal hardware. Front flap with clasp. Detachable adjustable shoulder strap. 2 patch pockets under the flap, a main pocket with zipped and patch pockets inside. Fabric lining. One patch pocket on the back. Bag charm. Height 32cm, width 39cm. Note: Marks and micro scratches on the clasp. Slight marks on the leather at the front and at the corners.",£403.93,£403.93
21219562,재고있음,0,http://dk.vestiairecollective.com/women-shoes/heels/dior/green-suede-dior-heels-21219562.shtml,2022-03-03,Women,Shoes,Heels,Dior,Very good condition,Suede,Green,"France, from the seller MytheresaXVestiaireCollective",39 EU,,,"Pointed toe pumps in bright green suede leather. 10cm heel. Size 39. With dust bags. Note: slight marks on the insoles, friction marks on the outer soles, slightly patinated base and tips, small friction marks on the back of the heels.",£107.72,£107.72
21219472,재고있음,0,http://dk.vestiairecollective.com/women-clothing/jackets/gucci/green-polyester-gucci-jacket-21219472.shtml,2022-03-03,Women,Jackets,Clothing,Gucci,Good condition,Polyester,Green,"France, from the seller MytheresaXVestiaireCollective",S International,,,"Green jacket with a multicolored metallic floral pattern. Ribbed trim in navy and red at collar, hem, and cuffs. Zip closure and pockets. White jersey lining. 65% polyamide, 35% polyester. Size label: S. Length 54cm. Note: yellowed lining at the neckline and armholes.",£655.27,£655.27
21219418,재고있음,1,http://dk.vestiairecollective.com/women-bags/handbags/saint-laurent/pink-leather-sac-de-jour-saint-laurent-handbag-21219418.shtml,2022-03-03,Women,Handbags,Bags,Saint Laurent,Very good condition,Leather,Pink,"France, from the seller MytheresaXVestiaireCollective",,"Width 10.2 in, Height 8.3 in",,"2017. Grayish pink Sac de Jour handbag with an embossed crocodile pattern. Silver colored brass fittings. Padlock and its keys. Smooth leather interior in the same tone. Double compartments with a central zipped pocket. 21x26x12cm, shoulder strap 115cm. With card. Without packaging. Note: slight small marks of friction here and there. Slight small marks at the bottom inside, light marks of friction at the top inside, slightly patinated handles.","£1,135.50","£1,135.50"
21179670,재고있음,2,http://dk.vestiairecollective.com/women-shoes/trainers/brunello-cucinelli/beige-suede-brunello-cucinelli-trainers-21179670.shtml,2022-03-03,Women,Shoes,Trainers,Brunello Cucinelli,Never worn,Suede,Beige,"France, from the seller MytheresaXVestiaireCollective",35.5 EU,,,"Beige and taupe brown satin leather and suede with silver chains on the sides. White details. Gold signature on the heel. Size 35.5. 4cm heel, 2cm sole. With dust bag.",£228.89,£228.89
21179643,재고있음,2,http://dk.vestiairecollective.com/women-shoes/trainers/brunello-cucinelli/anthracite-suede-brunello-cucinelli-trainers-21179643.shtml,2022-03-03,Women,Shoes,Trainers,Brunello Cucinelli,Very good condition,Suede,Anthracite,"France, from the seller MytheresaXVestiaireCollective",35.5 EU,,,"Satin leather and suede in anthracite gray and taupe brown with silver chains on the sides. White details. Gold signature on the heel. Size 35.5. 4cm heel, 2cm sole. With dust bag. Note: slight marks on the outer soles, slight small friction marks on the left side of the left shoe.",£228.89,£228.89
21175389,재고있음,4,http://dk.vestiairecollective.com/women-shoes/trainers/christian-louboutin/gold-leather-lou-spikes-christian-louboutin-trainers-21175389.shtml,2022-03-03,Women,Shoes,Trainers,Christian Louboutin,Very good condition,Leather,Gold,"France, from the seller MytheresaXVestiaireCollective",37.5 EU,,,"Lou Spikes high lace-up sneakers in pale gold canvas, leather and snake pattern leather. Nude beige leather lining. Without packaging. 37.5. Note: slight marks on the sides of the outsoles, dust on the outsoles.",£228.89,£228.89
21174991,재고있음,0,http://dk.vestiairecollective.com/women-shoes/boots/fendi/red-leather-fendi-boots-21174991.shtml,2022-03-03,Women,Others,Shoes,Fendi,Very good condition,Leather,Red,"France, from the seller MytheresaXVestiaireCollective",38 IT,,,"High heeled boots. Red Leather and cloth. Ribbed cloth effect at the back of the leg. Pointed toe, covered heel. Leather and cloth inside. Slip on. Size 38 It, heel 11cm, shaft 63cm. Note: Never worn but Very light storage marks, one black mark at the right heel counter. Box and dustbags included.",£439.84,£439.84
